Column,Real mean,Syn mean,Real std,Syn std,Real min,Syn min,Real max,Syn max
V1,0.0000,0.0929,1.9587,2.7304,-56.4075,-17.7265,2.4549,2.5551
V2,0.0000,-0.9103,1.6513,3.1940,-72.7157,-12.2134,22.0577,12.1536
V3,-0.0000,-0.0359,1.5163,2.1641,-48.3256,-8.8428,9.3826,4.3178
V4,0.0000,0.0861,1.4159,1.8364,-5.6832,-9.1667,16.8753,16.7426
V5,0.0000,0.7145,1.3802,2.6103,-113.7433,-16.0237,34.8017,14.5953
V6,0.0000,-0.2622,1.3323,2.3475,-26.1605,-10.4351,73.3016,11.9775
V7,-0.0000,0.2986,1.2371,2.6690,-43.5572,-14.3238,120.5895,12.7743
V8,0.0000,-0.6090,1.1944,3.0248,-73.2167,-12.3730,20.0072,12.7725
V9,-0.0000,-0.1243,1.0986,1.6595,-13.4341,-5.0582,15.5950,14.4871
V10,0.0000,-0.1404,1.0888,2.1987,-24.5883,-10.5321,23.7451,17.6659
V11,0.0000,-0.0084,1.0207,1.2487,-4.7975,-3.6314,12.0189,3.8181
V12,-0.0000,0.2129,0.9992,1.4396,-18.6837,-5.3668,7.8484,5.9322
V13,0.0000,0.0340,0.9953,1.4663,-5.7919,-4.4454,7.1269,4.4227
V14,0.0000,-0.0152,0.9586,2.0479,-19.2143,-5.7198,10.5268,15.4614
V15,0.0000,0.0601,0.9153,1.8722,-4.4989,-4.5176,8.8777,4.1873
V16,0.0000,0.1095,0.8763,1.2301,-14.1299,-4.6118,17.3151,3.0459
V17,-0.0000,-0.0986,0.8493,1.2407,-25.1628,-3.0989,9.2535,5.7981
V18,0.0000,-0.1200,0.8382,1.3297,-9.4987,-2.5613,5.0411,3.4453
V19,0.0000,0.2650,0.8140,1.4130,-7.2135,-4.8420,5.5920,5.1442
V20,0.0000,0.2147,0.7709,1.4521,-54.4977,-15.4786,39.4209,15.7153
V21,0.0000,0.0981,0.7345,1.9726,-34.8304,-14.7287,27.2028,18.6432
V22,-0.0000,0.0980,0.7257,1.1122,-10.9331,-9.9356,10.5031,8.6699
V23,0.0000,0.2002,0.6245,1.2376,-44.8077,-8.8194,22.5284,11.8446
V24,0.0000,-0.1413,0.6056,0.9395,-2.8366,-2.6126,4.5845,2.0436
V25,0.0000,0.1426,0.5213,1.1591,-10.2954,-5.3339,7.5196,4.6032
V26,0.0000,-0.1379,0.4822,0.6609,-2.6046,-1.6610,3.5173,1.4671
V27,-0.0000,0.1061,0.4036,0.7778,-22.5657,-5.1222,31.6122,3.9555
V28,-0.0000,-0.0993,0.3301,0.5977,-15.4301,-2.9298,33.8478,3.3208
Amount,88.3496,173.4667,250.1201,438.7425,0.0000,-213.9073,25691.1600,1855.1502
